171 y,0.5,x,1.25,1.5
172 x,1.25,y,0.5,0.75
173 y,0.5,x,1.5,1.75
174 x,1.5,y,0.5,0.75
175 y,0.5,x,1.75,2
176 x,1.75,y,0.5,0.75
177 y,0.5,x,2,2.25
178 x,2,y,0.5,0.75
179 y,0.5,x,2.25,2.5
180 x,2.25,y,0.5,0.75
181 y,0.5,x,2.5,2.75
182 x,2.5,y,0.5,0.75
183 y,0.5,x,2.75,3
184 x,2.75,y,0.5,0.75
185 y,0.5,x,3,3.25
186 x,3,y,0.5,0.75
187 y,0.5,x,3.25,3.5
188 x,3.25,y,0.5,0.75
189 y,0.5,x,3.5,3.75
190 x,3.5,y,0.5,0.75
191 y,0.5,x,3.75,4
192 x,3.75,y,0.5,0.75
193 y,0.5,x,4,4.25
194 x,4,y,0.5,0.75
195 y,0.5,x,4.25,4.5
196 x,4.25,y,0.5,0.75
197 y,0.5,x,4.5,4.75
198 x,4.5,y,0.5,0.75
199 y,0.5,x,4.75,5
200 x,4.75,y,0.5,0.75
201 y,0.5,x,5,5.25
202 x,5,y,0.5,0.75
203 y,0.5,x,5.25,5.5
204 x,5.25,y,0.5,0.75
205 y,0.5,x,5.5,5.75
206 x,5.5,y,0.5,0.75
207 y,0.5,x,5.75,6
208 x,5.75,y,0.5,0.75
209 y,0.5,x,6,6.25
210 x,6,y,0.5,0.75
211 y,0.5,x,6.25,6.5
212 x,6.25,y,0.5,0.75
213 y,0.5,x,6.5,6.75
214 x,6.5,y,0.5,0.75
215 y,0.5,x,6.75,7
216 x,6.75,y,0.5,0.75
217 y,0.5,x,7,7.25
218 x,7,y,0.5,0.75
219 y,0.5,x,7.25,7.5
220 x,7.25,y,0.5,0.75
221 y,0.5,x,7.5,7.75
222 x,7.5,y,0.5,0.75
223 y,0.5,x,7.75,8
224 x,7.75,y,0.5,0.75
225 y,0.5,x,8,8.25
226 x,8,y,0.5,0.75
227 y,0.5,x,8.25,8.5
228 x,8.25,y,0.5,0.75
229 y,0.5,x,8.5,8.75
230 x,8.5,y,0.5,0.75
231 y,0.5,x,8.75,9
232 x,8.75,y,0.5,0.75
233 y,0.5,x,9,9.25
234 x,9,y,0.5,0.75
235 y,0.5,x,9.25,9.5
236 x,9.25,y,0.5,0.75
237 y,0.5,x,9.5,9.75
238 x,9.5,y,0.5,0.75
239 y,0.5,x,9.75,10
240 x,9.75,y,0.5,0.75
241 y,0.75,x,0,0.25
242 x,0,y,0.75,1
243 y,0.75,x,0.25,0.5
244 x,0.25,y,0.75,1
245 y,0.75,x,0.5,0.75
246 x,0.5,y,0.75,1
247 y,0.75,x,0.75,1
248 x,0.75,y,0.75,1
249 y,0.75,x,1,1.25
250 x,1,y,0.75,1
251 y,0.75,x,1.25,1.5
252 x,1.25,y,0.75,1
253 y,0.75,x,1.5,1.75
254 x,1.5,y,0.75,1
255 y,0.75,x,1.75,2
256 x,1.75,y,0.75,1
257 y,0.75,x,2,2.25
258 x,2,y,0.75,1
259 y,0.75,x,2.25,2.5
260 x,2.25,y,0.75,1
261 y,0.75,x,2.5,2.75
262 x,2.5,y,0.75,1
263 y,0.75,x,2.75,3
264 x,2.75,y,0.75,1
265 y,0.75,x,3,3.25
266 x,3,y,0.75,1
267 y,0.75,x,3.25,3.5
268 x,3.25,y,0.75,1
269 y,0.75,x,3.5,3.75
270 x,3.5,y,0.75,1
271 y,0.75,x,3.75,4
272 x,3.75,y,0.75,1
273 y,0.75,x,4,4.25
274 x,4,y,0.75,1
275 y,0.75,x,4.25,4.5
276 x,4.25,y,0.75,1
277 y,0.75,x,4.5,4.75
278 x,4.5,y,0.75,1
279 y,0.75,x,4.75,5
280 x,4.75,y,0.75,1
281 y,0.75,x,5,5.25
282 x,5,y,0.75,1
283 y,0.75,x,5.25,5.5
284 x,5.25,y,0.75,1
285 y,0.75,x,5.5,5.75
286 x,5.5,y,0.75,1
287 y,0.75,x,5.75,6
288 x,5.75,y,0.75,1
289 y,0.75,x,6,6.25
290 x,6,y,0.75,1
291 y,0.75,x,6.25,6.5
292 x,6.25,y,0.75,1
293 y,0.75,x,6.5,6.75
294 x,6.5,y,0.75,1
295 y,0.75,x,6.75,7
296 x,6.75,y,0.75,1
297 y,0.75,x,7,7.25
298 x,7,y,0.75,1
299 y,0.75,x,7.25,7.5
300 x,7.25,y,0.75,1
301 y,0.75,x,7.5,7.75
302 x,7.5,y,0.75,1
303 y,0.75,x,7.75,8
304 x,7.75,y,0.75,1
305 y,0.75,x,8,8.25
306 x,8,y,0.75,1
307 y,0.75,x,8.25,8.5
308 x,8.25,y,0.75,1
309 y,0.75,x,8.5,8.75
310 x,8.5,y,0.75,1
311 y,0.75,x,8.75,9
312 x,8.75,y,0.75,1
313 y,0.75,x,9,9.25
314 x,9,y,0.75,1
315 y,0.75,x,9.25,9.5
316 x,9.25,y,0.75,1
317 y,0.75,x,9.5,9.75
318 x,9.5,y,0.75,1
319 y,0.75,x,9.75,10
320 x,9.75,y,0.75,1
321 y,1,x,0,0.25
322 x,0,y,1,1.25
323 y,1,x,0.25,0.5
324 x,0.25,y,1,1.25
325 y,1,x,0.5,0.75
326 x,0.5,y,1,1.25
327 y,1,x,0.75,1
328 x,0.75,y,1,1.25
329 y,1,x,1,1.25
330 x,1,y,1,1.25
331 y,1,x,1.25,1.5
332 x,1.25,y,1,1.25
333 y,1,x,1.5,1.75
334 x,1.5,y,1,1.25
335 y,1,x,1.75,2
336 x,1.75,y,1,1.25
337 y,1,x,2,2.25
338 x,2,y,1,1.25
339 y,1,x,2.25,2.5
340 x,2.25,y,1,1.25
341 y,1,x,2.5,2.75
342 x,2.5,y,1,1.25
343 y,1,x,2.75,3
344 x,2.75,y,1,1.25
345 y,1,x,3,3.25
346 x,3,y,1,1.25
347 y,1,x,3.25,3.5
348 x,3.25,y,1,1.25
349 y,1,x,3.5,3.75
350 x,3.5,y,1,1.25
351 y,1,x,3.75,4
352 x,3.75,y,1,1.25
353 y,1,x,4,4.25
354 x,4,y,1,1.25
355 y,1,x,4.25,4.5
356 x,4.25,y,1,1.25
357 y,1,x,4.5,4.75
358 x,4.5,y,1,1.25
359 y,1,x,4.75,5
360 x,4.75,y,1,1.25
361 y,1,x,5,5.25
362 x,5,y,1,1.25
363 y,1,x,5.25,5.5
364 x,5.25,y,1,1.25
365 y,1,x,5.5,5.75
366 x,5.5,y,1,1.25
367 y,1,x,5.75,6
368 x,5.75,y,1,1.25
369 y,1,x,6,6.25
370 x,6,y,1,1.25
371 y,1,x,6.25,6.5
372 x,6.25,y,1,1.25
373 y,1,x,6.5,6.75
374 x,6.5,y,1,1.25
375 y,1,x,6.75,7
376 x,6.75,y,1,1.25
377 y,1,x,7,7.25
378 x,7,y,1,1.25
379 y,1,x,7.25,7.5
380 x,7.25,y,1,1.25
381 y,1,x,7.5,7.75
382 x,7.5,y,1,1.25
383 y,1,x,7.75,8
384 x,7.75,y,1,1.25
385 y,1,x,8,8.25
386 x,8,y,1,1.25
387 y,1,x,8.25,8.5
388 x,8.25,y,1,1.25
389 y,1,x,8.5,8.75
390 x,8.5,y,1,1.25
391 y,1,x,8.75,9
392 x,8.75,y,1,1.25
393 y,1,x,9,9.25
394 x,9,y,1,1.25
395 y,1,x,9.25,9.5
396 x,9.25,y,1,1.25
397 y,1,x,9.5,9.75
398 x,9.5,y,1,1.25
399 y,1,x,9.75,10
400 x,9.75,y,1,1.25
401 y,1.25,x,0,0.25
402 x,0,y,1.25,1.5
403 y,1.25,x,0.25,0.5
404 x,0.25,y,1.25,1.5
405 y,1.25,x,0.5,0.75
406 x,0.5,y,1.25,1.5
407 y,1.25,x,0.75,1
408 x,0.75,y,1.25,1.5
409 y,1.25,x,1,1.25
410 x,1,y,1.25,1.5
411 y,1.25,x,1.25,1.5
412 x,1.25,y,1.25,1.5
413 y,1.25,x,1.5,1.75
414 x,1.5,y,1.25,1.5
415 y,1.25,x,1.75,2
416 x,1.75,y,1.25,1.5
417 y,1.25,x,2,2.25
418 x,2,y,1.25,1.5
419 y,1.25,x,2.25,2.5
420 x,2.25,y,1.25,1.5
421 y,1.25,x,2.5,2.75
422 x,2.5,y,1.25,1.5
423 y,1.25,x,2.75,3
424 x,2.75,y,1.25,1.5
425 y,1.25,x,3,3.25
426 x,3,y,1.25,1.5
427 y,1.25,x,3.25,3.5
428 x,3.25,y,1.25,1.5
429 y,1.25,x,3.5,3.75
430 x,3.5,y,1.25,1.5
431 y,1.25,x,3.75,4
432 x,3.75,y,1.25,1.5
433 y,1.25,x,4,4.25
434 x,4,y,1.25,1.5
435 y,1.25,x,4.25,4.5
436 x,4.25,y,1.25,1.5
437 y,1.25,x,4.5,4.75
438 x,4.5,y,1.25,1.5
439 y,1.25,x,4.75,5
440 x,4.75,y,1.25,1.5
441 y,1.25,x,5,5.25
442 x,5,y,1.25,1.5
443 y,1.25,x,5.25,5.5
444 x,5.25,y,1.25,1.5
445 y,1.25,x,5.5,5.75
446 x,5.5,y,1.25,1.5
447 y,1.25,x,5.75,6
448 x,5.75,y,1.25,1.5
